all|all
muscle|muscle weakness, progressive, proximal
ragged-red|ragged-red fibers with decreased cox activity
weakness|weakness of long finger extensor muscles
narrow,|narrow, high-arched palate
narrow|narrow and high arched palate
narrow,|narrow, highly arched palate
midline|midline notch of upper alveolar ridge
alveolar|alveolar ridge overgrowth
thick|thick alveolar ridges
thickened|thickened alveolar ridges
posteriorly|posteriorly placed tongue
speech|speech articulation difficulties
facial|facial diplegic appearance
progressive|progressive alveolar ridge hypertropy
cleft|cleft lower alveolar ridge
chronic|chronic oral candidiasis
median|median cleft palate
thick|thick anterior alveolar ridges
submucous|submucous cleft lip
anterior|anterior open-bite malocclusion
aplasia/hypoplasia|aplasia/hypoplasia involving the pelvis
aplasia/hypoplasia|aplasia/hypoplasia of the pubic bone
hypoplastic/aplastic|hypoplastic/aplastic pubic bones
abnormal|abnormal ossification of the pubic bone
abnormal|abnormal pelvis bone ossification
abnormal|abnormal ossification involving the bones of the pelvis
abnormal|abnormal ossification involving the femoral head and neck
aplasia/hypoplasia|aplasia/hypoplasia involving the femoral head and neck
denervation|denervation of the diaphragm
diaphragmatic|diaphragmatic eventration
absent|absent left hemidiaphragm
diaphragmatic|diaphragmatic weakness
diaphragmatic|diaphragmatic paraparesis
aplasia/hypoplasia|aplasia/hypoplasia involving the skeleton
aplasia/hypoplasia|aplasia/hypoplasia involving bones of the skull
aplasia/hypoplasia|aplasia/hypoplasia of the maxilla
aplasia/hypoplasia|aplasia/hypoplasia of the mandible
aplasia/hypoplasia|aplasia/hypoplasia of the frontal sinuses
aplasia/hypoplasia|aplasia/hypoplasia involving the sinuses
abnormal|abnormal axial skeleton morphology
aplasia/hypoplasia|aplasia/hypoplasia affecting bones of the axial skeleton
mixed|mixed hypo- and hyperpigmentation of the skin
abnormality|abnormality of adipose tissue
abnormality|abnormality of fatty tissue
lipodystrophy|lipodystrophy
increased|increased adipose tissue
abnormality|abnormality of the musculature of the limbs
aplasia/hypoplasia|aplasia/hypoplasia involving the musculature of the extremities
upper|upper limb amyotrophy
amyotrophy|amyotrophy involving the upper limbs
hand|hand muscle atrophy
amyotrophy|amyotrophy involving the musculature of the hand
amyotrophy|amyotrophy of hand muscles
hand|hand muscle wasting
hand|hand muscle wasting, bilateral
abnormality|abnormality of the musculature of the thorax
abnormal|abnormal tarsal bone mineral density
abnormality|abnormality of bone mineral density involving tarsal bones
osteolysis|osteolysis involving bones of the feet
duplication|duplication involving bones of the feet
synostosis|synostosis involving bones of the lower limbs
osteolysis|osteolysis involving bones of the lower limbs
synostosis|synostosis involving bones of the feet
depletion|depletion of mitochondrial dna in muscle tissue
depletion|depletion of mitochondrial dna in skeletal muscle tissue
duplication|duplication of bones involving the upper extremities
supernumerary|supernumerary bones of the axial skeleton
abnormalities|abnormalities of the cerebral arteries
nasal,|nasal, high-pitched voice
enlarged|enlarged epiphysis of the distal phalanx of the 5th finger
small|small epiphysis of the distal phalanx of the 5th finger
triangular|triangular epiphysis of the distal phalanx of the 5th finger
delta-shaped|delta-shaped epiphysis of the distal phalanx of the 5th finger
abnormality|abnormality of the proximal phalanx of the 5th finger
abnormality|abnormality of the epiphyses of the 5th finger
abnormality|abnormality of the epiphysis of the proximal phalanx of the 5th finger
triangular|triangular epiphysis of the proximal phalanx of the 5th finger
delta-shaped|delta-shaped epiphysis of the proximal phalanx of the 5th finger
cone-shaped|cone-shaped epiphysis of the proximal phalanx of the 5th finger
ivory|ivory epiphysis of the proximal phalanx of the 5th finger
enlarged|enlarged epiphysis of the proximal phalanx of the 5th finger
small|small epiphysis of the proximal phalanx of the 5th finger
absent|absent epiphysis of the proximal phalanx of the 5th finger
aplasia/hypoplasia|aplasia/hypoplasia of the middle phalanx of the 5th finger
absent/hypoplastic|absent/hypoplastic middle phalanx of 5th finger
absent|absent middle phalanx of 5th finger
aplasia|aplasia of the middle phalanx of the 5th finger
abnormal|abnormal form of the 5th finger
abnormal|abnormal calcification of the carpal bones
carpal|carpal calcifications
stippling|stippling of the epiphysis of the distal phalanx of the 5th finger
fragmentation|fragmentation of the epiphysis of the distal phalanx of the 5th finger
irregular|irregular epiphysis of the distal phalanx of the 5th finger
bullet-shaped|bullet-shaped middle phalanx of the 5th finger
broad|broad middle phalanx of the 5th finger
wide|wide middle phalanx of the 5th finger
osteolytic|osteolytic defects of the middle phalanx of the 5th finger
triangular|triangular epiphyses of the metacarpals
abnormality|abnormality of the phalanges of the 4th finger
abnormality|abnormality of the phalanges of the ring finger
curved|curved middle phalanx of the 5th finger
abnormality|abnormality of the epiphyses of the 4th finger
patchy|patchy sclerosis of the middle phalanx of the 5th finger
proximal/middle|proximal/middle symphalangism of 5th finger
fifth|fifth finger symphalangism
proximal|proximal 5th finger symphalangism
proximal|proximal fifth finger symphalangism
symphalangism|symphalangism of the proximal and middle phalanges of the 5th finger
symphalangism|symphalangism of middle phalanx of 5th finger
deviation|deviation of the 5th finger
laterally|laterally displaced fifth finger
ulnar|ulnar deviation of the 5th finger
triangular|triangular shaped middle phalanx of the 5th finger
joint|joint contractures of the 5th finger
fifth|fifth finger camptodactyly
contracture|contracture of the distal interphalangeal joint of the 5th finger
contracture|contracture of the proximal interphalangeal joint of the 5th finger
contracture|contracture of the metacarpophalangeal joint of the 5th finger
bracket|bracket epiphysis of the distal phalanx of the 5th finger
pseudoepiphysis|pseudoepiphysis of the distal phalanx of the 5th finger
fragmentation|fragmentation of the metacarpal epiphyses
irregular|irregular epiphyses of the metacarpals
ivory|ivory epiphyses of the metacarpals
aplasia/hypoplasia|aplasia/hypoplasia of the proximal phalanx of the 5th finger
pseudoepiphyses|pseudoepiphyses of the metacarpals
accessory|accessory proximal metacarpal ossification centers
metacarpal|metacarpal pseudoepiphyses
small|small epiphyses of the metacarpals
epiphyseal|epiphyseal stippling of the metacarpals
stippling|stippling of the epiphyses of the metacarpals
absent|absent metacarpal epiphyses
absent|absent metacarpal ossification center
bracket|bracket epiphysis of the proximal phalanx of the 5th finger
abnormality|abnormality of the epiphysis of the distal phalanx of the 5th finger
abnormality|abnormality of the epiphysis of the terminal phalanx of the little finger
irregular|irregular epiphysis of the proximal phalanx of the 5th finger
pseudoepiphysis|pseudoepiphysis of the proximal phalanx of the 5th finger
stippling|stippling of the epiphysis of the proximal phalanx of the 5th finger
fragmentation|fragmentation of the epiphysis of the proximal phalanx of the 5th finger
absent|absent epiphysis of the middle phalanx of the 5th finger
bracket|bracket epiphysis of the middle phalanx of the 5th finger
cone-shaped|cone-shaped epiphysis of the middle phalanx of the 5th finger
enlarged|enlarged epiphysis of the middle phalanx of the 5th finger
fragmentation|fragmentation of the epiphysis of the middle phalanx of the 5th finger
irregular|irregular epiphysis of the middle phalanx of the 5th finger
ivory|ivory epiphysis of the middle phalanx of the 5th finger
pseudoepiphysis|pseudoepiphysis of the middle phalanx of the 5th finger
small|small epiphysis of the middle phalanx of the 5th finger
stippling|stippling of the epiphysis of the middle phalanx of the 5th finger
triangular|triangular epiphysis of the middle phalanx of the 5th finger
delta-shaped|delta-shaped epiphysis of the middle phalanx of the 5th finger
absent|absent epiphysis of the middle phalanx of the 4th finger
bracket|bracket epiphysis of the middle phalanx of the 4th finger
cone-shaped|cone-shaped epiphysis of the middle phalanx of the 4th finger
enlarged|enlarged epiphysis of the middle phalanx of the 4th finger
fragmentation|fragmentation of the epiphysis of the middle phalanx of the 4th finger
irregular|irregular epiphysis of the middle phalanx of the 4th finger
ivory|ivory epiphysis of the middle phalanx of the 4th finger
pseudoepiphysis|pseudoepiphysis of the middle phalanx of the 4th finger
small|small epiphysis of the middle phalanx of the 4th finger
stippling|stippling of the epiphysis of the middle phalanx of the 4th finger
triangular|triangular epiphysis of the middle phalanx of the 4th finger
delta-shaped|delta-shaped epiphysis of the middle phalanx of the 4th finger
aplasia|aplasia of the proximal phalanx of the 5th finger
short|short proximal phalanx of the 5th finger
hypoplastic/small|hypoplastic/small proximal phalanx of the 5th finger
short|short proximal phalanx of the fifth finger
broad|broad proximal phalanx of the 5th finger
wide|wide proximal phalanx of the 5th finger
bullet-shaped|bullet-shaped proximal phalanx of the 5th finger
curved|curved proximal phalanx of the 5th finger
osteolytic|osteolytic defects of the proximal phalanx of the 5th finger
patchy|patchy sclerosis of the proximal phalanx of the 5th finger
symphalangism|symphalangism affecting the proximal phalanx of the 5th finger
triangular|triangular shaped proximal phalanx of the 5th finger
symphalangism|symphalangism of the proximal phalanx of the 5th finger with the 5th metatcarpal
rhomboid|rhomboid or triangular shaped 5th finger proximal phalanx
short|short 5th finger
fifth|fifth finger brachydactyly
hypoplastic|hypoplastic phalanges of the little finger
hypoplastic/small|hypoplastic/small 5th finger
hypoplastic/small|hypoplastic/small little finger
short|short fifth finger
short|short fifth fingers
short|short fifth fingers,
short|short little finger
short|short phalanges of the little finger
aplasia|aplasia of the 5th finger
aplasia/hypoplasia|aplasia/hypoplasia of the distal phalanx of the 5th finger
broad|broad distal phalanx of the 5th finger
bullet-shaped|bullet-shaped distal phalanx of the 5th finger
osteolytic|osteolytic defects of the distal phalanx of the 5th finger
patchy|patchy sclerosis of the distal phalanx of the 5th finger
distal/middle|distal/middle symphalangism of 5th finger
fifth|fifth finger distal interphalangeal joint symphalangism
symphalangism|symphalangism of the distal and middle phalanges of the 5th finger
symphalangism|symphalangism of the terminal and middle phalanges of the 5th finger
triangular|triangular shaped distal phalanx of the 5th finger
aplasia|aplasia of the distal phalanx of the 5th finger
abnormality|abnormality of the epiphysis of the middle phalanx of the 4th finger
abnormality|abnormality of the epiphysis of the proximal phalanx of the 4th finger
abnormality|abnormality of the epiphysis of the distal phalanx of the 4th finger
absent|absent epiphysis of the distal phalanx of the 4th finger
bracket|bracket epiphysis of the distal phalanx of the 4th finger
cone-shaped|cone-shaped epiphysis of the distal phalanx of the 4th finger
enlarged|enlarged epiphysis of the distal phalanx of the 4th finger
fragmentation|fragmentation of the epiphysis of the distal phalanx of the 4th finger
irregular|irregular epiphysis of the distal phalanx of the 4th finger
ivory|ivory epiphysis of the distal phalanx of the 4th finger
pseudoepiphysis|pseudoepiphysis of the distal phalanx of the 4th finger
small|small epiphysis of the distal phalanx of the 4th finger
stippling|stippling of the epiphysis of the distal phalanx of the 4th finger
triangular|triangular epiphysis of the distal phalanx of the 4th finger
delta-shaped|delta-shaped epiphysis of the distal phalanx of the 4th finger
absent|absent epiphysis of the proximal phalanx of the 4th finger
bracket|bracket epiphysis of the proximal phalanx of the 4th finger
bracket|bracket proximal epiphysis of the ring finger
cone-shaped|cone-shaped epiphysis of the proximal phalanx of the 4th finger
enlarged|enlarged epiphysis of the proximal phalanx of the 4th finger
fragmentation|fragmentation of the epiphysis of the proximal phalanx of the 4th finger
irregular|irregular epiphysis of the proximal phalanx of the 4th finger
ivory|ivory epiphysis of the proximal phalanx of the 4th finger
pseudoepiphysis|pseudoepiphysis of the proximal phalanx of the 4th finger
small|small epiphysis of the proximal phalanx of the 4th finger
